param	n:=	12;			
		
set	A	:=			
(	1	,	2	)
(	1	,	5	)	
(	2	,	5	)	
(	2	,	6	)	
(	2	,	12	)	
(	3	,	6	)	
(	3	,	9	)	
(	4	,	7	)	
(	4	,	10	)	
(	4	,	11	)	
(	5	,	7	)	
(	5	,	8	)	
(	6	,	7	)	
(	8	,	10	)	
(	9	,	12	)	
(	10	,	11	)	
(	2	,	1	)	
(	5	,	2	)	
(	6	,	2	)	
(	12	,	2	)	
(	6	,	3	)	
(	9	,	3	)	
(	7	,	4	)	
(	10	,	4	)	
(	11	,	4	)	
(	7	,	5	)	
(	8	,	5	)	
(	7	,	6	)	
(	10	,	8	)	
(	12	,	9	)	
(	11	,	10	)	
;					
param	:	f	:=		
1	2	13	
1	5	100		
2	5	108			
2	6	59			
2	12	90	 		
3	6	26	 		
3	9	115	 		
4	7	75	 		
4	10	152	 		
4	11	157	 		
5	7	103	 		
5	8	220	 		
6	7	90	 		
8	10	51	 		
9	12	34	 		
10	11	114	 		
2	1	13	 		
5	2	108	 		
6	2	59	 		
12	2	90	 		
6	3	26	 		
9	3	115	 		
7	4	75	 		
10	4	152	 		
11	4	157	 		
7	5	103	 		
8	5	220	 		
7	6	90	 		
10	8	51	 		
12	9	34	 		
11	10	114	 		
;					
					
	param lambda := 10;				
					
					
param 	n_d:=25;			
param	:		s	t	d:=
1	6	11	4		
2	1	3	3		
3	5	11	2		
4	7	8	3		
5	8	9	12		
6	5	8	17		
7	3	6	28		
8	8	11	10		
9	8	10	23		
10	1	4	2		
11	1	5	1		
12	1	7	1		
13	3	4	32		
14	7	9	4		
15	5	6	4		
16	4	6	8		
17	9	12	41		
18	7	12	5		
19	9	10	6		
20	4	12	17		
21	7	11	2		
22	4	7	5		
23	6	9	19		
24	1	6	1		
25	9	10	6		
;		


			
