param n_J := 50;
param n_I := 16;


param d: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16  := 
1	6739.73 10355 7650.4 5219.5 5776.12 6641.18 4374.52 3847.1 6429.48 5396.52 5219.5 4182.9 7391.25 5038.82 10349.6 6051.7 
2	3204.86 5457.07 3845.4 2396.85 2628.49 3220.09 1838.96 2266.35 3117.86 2582.81 2296.8 1779.15 5115.6 2189.14 5399.44 2838.38 
3	4914 26409.6 19622.4 13876.8 9147.6 14977.2 21848.4 35330.4 15111.6 23679.6 9828 19303.2 57472.8 11180.4 22957.2 15489.6 
4	32372.1 29982.2 21024.3 29681.4 21275 20071.7 64293 80186.6 25921.1 69206.5 23096.7 48700.2 135171 40527.8 60516 52911.8 
5	1715.46 2152.18 1577.9 1061.75 1250.46 1363.61 1524.04 955.575 1318.66 1789.09 1133.05 1015.25 2005.7 1379.89 2512.94 1823.58 
6	6421.51 23701.6 16197 10383.4 7483.61 12332.9 15840.7 27251.2 12444.7 17769.2 7029.43 13919.1 45474.7 6966.54 20326.6 10956.4 
7	81972.4 28499.2 43134 65767.5 58805.6 48555.4 138615 155294 53176.9 147325 56998.5 102384 259515 96429.4 131920 118382 
8	33391.5 26544.4 6370.65 16770.6 13571.7 8861.74 51550.5 57907.6 10985.3 57376.7 12741.3 33595.7 105796 32220.8 60072 46527.5 
9	2020.84 2480.78 1869.45 1324.95 1525.84 1646.29 1817.06 1211.92 1593.49 2099.21 1395.9 1275.45 1940.4 1663.61 2869.76 2135.93 
10	1459.6 1995.2 1402.4 869.6 1050.8 1181.2 1133.2 546.4 1134.8 1406.8 928.8 768.8 1950.4 1145.2 2314.8 1500.8 
11	141015 205925 104130 12638.5 46089.3 66146.1 198301 220212 58178.3 241574 25277 97536.2 461992 106122 288419 185456 
12	17684.5 32069.4 15322.8 8429.8 1231.7 9073.9 32781.3 41335.4 9254.7 37595.1 2463.4 19775 79235.6 16712.7 41956.9 28589 
13	38207.6 42477.3 15319.7 15832.8 11526.4 5185.98 62653.2 71210.9 11563.1 70496.3 10372 38482.5 135275 36631.7 77569.7 55891.2 
14	1953.74 5044.32 4089.8 3428.43 2289.79 3530.31 5553.76 8308.3 3558.91 5947.01 2434.57 4897.75 13134.5 3283.64 4634.99 4204.2 
15	17181.6 36054.4 25399.5 16297.5 15828.6 21148.3 7310.81 21709.5 20779.3 12569.1 14621.6 11931 39913.5 11169.9 32479.7 14375.6 
16	25640.8 35602.5 25154.4 15763.8 18421.7 21255.8 18478 8135.7 20438 23300.2 16271.4 12619.5 35094.9 19253.5 39867.8 24957 
17	7031.43 10492 6305.4 2542.5 3918.28 4743.18 6856.27 7119 4415.48 8788.58 3062.3 2712 17458.5 5031.32 13093.9 8294.2 
18	78453.7 92515.8 36644.4 27445.6 23562.5 23034.7 126333 141375 11423.1 144881 22846.2 74042.8 274079 75211.5 159433 114834 
19	9452.71 12441.3 7754.45 3542 5082.14 6005.59 10275 10214.9 5638.74 12438.1 4123.9 5635.57 21789.6 8073.86 16239.4 11726.5 
20	8597.06 14113.1 10500.8 7254 7875.56 9152.81 5467.31 6371.62 8870.06 6729.94 7312.5 5869.5 9506.25 6695.81 13554.9 7707.38 
21	1581.28 2030.15 1326.2 693.5 924.825 1063.53 1628.78 1619.75 1008.42 1953.67 780.9 931.95 3066.6 1298.17 2600.62 1846.8 
22	23171 48702.4 36072.9 26167 23493.8 30494.5 14919.4 33813.3 30655.9 11166.9 22333.7 20982 56026 17380.8 40178.5 15978.6 
23	12087.6 19877.3 9670.05 3801.9 2252.21 5847.49 19650 23844.5 6260.74 22873.4 0 10703.2 46945.2 10145.3 26881.9 17728.4 
24	4883 12851.6 10822.4 8930 6798.2 9435.4 11943.4 18148.8 9496.2 11616.6 7106 10898.4 28226.4 7117.4 7725.4 7911.6 
25	24063.9 39682.5 24603.2 11050 13644.7 18976.4 20197.4 24684.5 17796.1 27157.1 10541.3 5270.65 59259.2 14845.3 44597 26495.7 
26	4124.04 12148.9 8180.68 5611.05 2952.96 5851.16 11613.9 17111.2 5918.56 12852.3 3268.9 9073.73 29479.1 5623.69 13172.5 8745.15 
27	281463 406770 325853 253235 264755 294458 211357 210756 289435 239639 248102 222222 124051 238875 392519 261534 
28	11056.8 22113.5 11424.6 5582.48 2430.61 7436.09 19279 25460.1 7551.49 22351.5 1601.17 11698.7 49650.8 9022.84 26549.2 16963.8 
29	8585.62 22449.2 14122.6 7458.95 6609.43 10790.8 11525.8 20448.8 10887.2 14092.5 5916.55 8953.15 37089.9 2958.28 20575.4 9917.15 
30	12480.2 25455.4 22151.2 19069.9 15598.7 19892.8 23976.6 34080.8 19991.8 23444.4 16099.9 22275 50490 16118.4 8049.94 17411.6 
31	3727.76 11116.9 8229.38 5826.98 4628.66 6632.59 6476.66 11885 6678.79 6101.29 4440.98 6843.38 18722.5 3693.11 8596.09 3285.97 
32	4673.02 13346.9 7880.95 4330.9 2861.78 5655.12 9623.77 14610.8 5719.52 11338.4 2398.9 6931.05 26701.8 3900.22 13310.7 7961.45 
33	13451.7 35106.2 25927.2 17347.6 15249.8 21192.2 16808.2 32845.8 21329.2 15695.1 14693.2 19385.5 53121.8 10951.4 27888.1 7346.62 
34	372673 229188 203364 322800 261307 229995 681269 810551 258079 728398 261791 512606 1.36157e+06 451436 644793 575875 
35	9745.94 18070 12049.4 7198.75 7592.81 9802.81 5780.94 10692.5 9607.81 8559.69 6353.75 4891.25 21336.2 5951.56 17830.3 9514.38 
36	12055.1 18181 11400.9 5307 7379.48 8870.92 10865.6 10202.2 8340.23 13994.9 5984.1 4154.1 26946.8 8459.17 21470.5 13697.5 
37	97602.7 73603.6 59562 83331.7 65940.3 56946.4 185248 222004 73007 198739 65986.2 137295 378755 119996 174969 155375 
